Index,A,B,C,D,Label,Rank
1,True,True,False,True,True,0.654
2,True,True,False,True,True,0.667
3,True,False,False,False,False,0.183
4,False,True,False,True,False,0.517
5,False,False,True,False,False,0.256
6,True,True,True,True,True,0.953
7,True,False,False,True,False,0.513
8,False,False,True,False,False,0.454
9,True,False,True,False,False,0.397
10,True,True,True,True,True,0.941
11,True,False,True,False,False,0.471
12,False,True,False,False,False,0.277
13,True,False,False,True,True,0.622
14,True,True,False,True,True,0.662
15,False,False,False,True,False,0.562
16,False,False,True,False,False,0.27
17,True,False,True,True,True,0.818
18,False,False,False,False,False,0.032
19,False,True,False,True,False,0.515
20,True,False,True,True,True,0.864
21,True,False,False,True,False,0.488
22,False,False,False,False,False,0.018
23,False,False,True,True,True,0.671
24,False,False,False,False,False,0.109
25,True,False,False,True,True,0.666
26,True,True,True,True,True,0.966
27,False,False,True,False,False,0.392
28,True,False,True,True,True,0.87
29,True,False,True,True,True,0.755
30,True,True,True,True,True,0.798
31,True,False,True,False,False,0.43
32,False,True,False,True,False,0.446
33,True,True,True,True,True,0.784
34,False,False,False,False,False,0.009
35,True,True,False,True,True,0.698
36,True,False,True,True,True,0.836
37,False,True,False,False,False,0.18
38,False,False,False,False,False,0.066
39,True,True,False,True,True,0.751
40,False,True,True,False,False,0.53
41,True,False,True,False,False,0.37
42,True,False,True,False,False,0.397
43,False,True,False,False,False,0.274
44,False,False,False,False,False,0.033
45,True,False,False,True,True,0.606
46,False,True,False,False,False,0.118
47,True,False,True,False,False,0.542
48,True,True,True,True,True,0.829
49,False,True,True,False,False,0.353
50,False,False,False,True,False,0.498
51,True,True,True,True,True,0.815
52,True,True,True,True,True,0.758
53,False,False,True,False,False,0.382
54,False,False,False,True,False,0.546
55,False,False,False,False,False,0.194
56,True,False,False,True,False,0.559
57,True,True,False,True,True,0.63
58,True,False,True,True,True,0.727
59,False,True,False,False,False,0.138
60,True,True,False,True,False,0.554
61,False,False,True,True,False,0.565
62,True,True,True,True,True,0.946
63,False,False,False,False,False,0.069
64,True,True,True,True,True,0.94
65,False,False,False,True,False,0.425
66,False,False,True,True,True,0.739
67,True,False,True,True,True,0.831
68,True,False,True,False,False,0.445
69,True,False,False,False,False,0.325
70,False,False,False,False,False,0.138
71,False,False,True,False,False,0.399
72,True,False,True,True,True,0.748
73,True,False,True,True,True,0.743
74,False,True,False,False,False,0.211
75,True,False,False,False,False,0.351
76,True,True,False,True,False,0.597
77,True,False,False,True,False,0.494
78,False,False,True,False,False,0.382
79,True,False,True,True,True,0.902
80,False,True,True,True,True,0.849
81,False,True,True,True,True,0.726
82,True,True,True,True,True,0.926
83,True,False,False,True,True,0.691
84,False,True,False,False,False,0.227
85,True,False,True,False,False,0.411
86,True,False,True,False,False,0.464
87,False,False,False,True,False,0.397
88,True,False,False,True,False,0.533
89,True,False,False,True,True,0.695
90,True,False,True,True,True,0.711
91,True,False,True,True,True,0.877
92,True,True,True,True,True,0.821
93,False,False,True,False,False,0.303
94,False,True,True,True,True,0.69
95,True,True,False,False,False,0.322
96,True,True,True,True,True,0.783
97,True,True,False,True,True,0.746
98,True,False,True,True,True,0.904
99,False,False,True,True,False,0.572
100,True,False,True,False,False,0.493
101,False,True,True,True,True,0.702
102,True,True,True,True,True,0.813
103,True,False,False,True,True,0.671
104,False,False,True,False,False,0.435
105,True,False,True,False,False,0.44
106,True,True,True,True,True,0.979
107,False,False,False,False,False,0.156
108,False,False,True,False,False,0.329
109,False,True,True,True,True,0.667
110,False,False,False,True,False,0.331
111,True,False,True,True,True,0.862
112,False,False,False,False,False,0.139
113,True,True,False,False,False,0.357
